Serial Number,Roll Number,Name,Father Name,Admission Year,Category,Gender,Grade,City,Standard,Hindi Marks,English Marks,Science Marks,Maths Marks,Drawing Marks,Total Marks,Percentage
11223001,R1000,Kamal,Prakash,2006,BC,F,C,Faridabad,12th,56,19,58,24,5,162,32.4
11223002,R1001,Vikas,Rajesh,2008,BC,M,A,Panipat,11th,75,0,20,81,79,255,51
11223003,R1002,Suman,Rajesh,2006,GNRL,M,D,Faridabad,7th,42,48,46,81,36,253,50.6
11223004,R1003,Anjali,Naresh,2003,BC,F,C,Rohtak,12th,26,12,51,74,98,261,52.2
11223005,R1004,Mohit,Dinesh,2001,SC,F,A,Gurgaon,9th,70,51,27,17,7,172,34.4
11223006,R1005,Kamal,Prakash,2008,GNRL,M,A,Rohtak,8th,53,97,62,71,66,349,69.8
11223007,R1006,Suman,Lokesh,2002,BC,F,A,Faridabad,9th,100,38,22,78,84,322,64.4
11223008,R1007,Pooja,Mukesh,2004,SC,F,D,Rohtak,12th,43,73,12,7,67,202,40.4
11223009,R1008,Ravi,Prakash,2007,SC,M,C,Sonipat,11th,46,5,10,69,1,131,26.2
11223010,R1009,Suman,Prakash,2006,GNRL,M,D,Rohtak,7th,70,85,35,41,79,310,62
11223011,R1010,Anjali,Ramesh,2007,BC,M,B,Sonipat,7th,41,2,68,38,72,221,44.2
11223012,R1011,Vikas,Dinesh,2000,OBC,F,A,Gurgaon,9th,62,22,55,18,27,184,36.8
11223013,R1012,Mohit,Dinesh,2003,SC,F,A,Faridabad,11th,40,48,12,46,18,164,32.8
11223014,R1013,Mohit,Satish,2000,OBC,F,D,Sonipat,6th,56,46,26,94,61,283,56.6
11223015,R1014,Anjali,Dinesh,2007,SC,F,A,Panipat,6th,6,47,27,,13,171,34.2
11223016,R1015,Aman,Naresh,2008,OBC,M,B,Faridabad,12th,46,40,8,48,28,170,34
11223017,R1016,Deepak,Naresh,2001,SC,F,D,Ambala,9th,48,64,64,100,97,373,74.6
11223018,R1017,Ravi,Mahesh,2001,OBC,M,B,Sonipat,9th,62,32,39,36,38,207,41.4
11223019,R1018,Anjali,Naresh,2008,SC,M,C,Jhajjar,8th,73,81,47,2,61,264,52.8
11223020,R1019,Pooja,Mukesh,2002,GNRL,F,A,Jhajjar,8th,10,15,95,37,76,233,46.6
11223021,R1020,,Suresh,2000,BC,F,,Panipat,,76,25,37,57,49,244,48.8
11223022,R1021,,Suresh,2002,SC,F,C,Jhajjar,8th,62,43,55,40,71,271,54.2
11223023,R1022,Deepak,Satish,2003,SC,M,B,Hisar,8th,23,48,89,80,75,315,63
11223024,R1023,Deepak,Suresh,2005,GNRL,F,D,Sonipat,9th,25,35,54,33,59,206,41.2
11223025,R1024,Pooja,Prakash,2005,OBC,F,D,Jhajjar,12th,27,13,75,57,48,220,44
11223026,R1025,Deepak,Mukesh,2000,GNRL,M,D,Gurgaon,11th,68,51,41,95,94,349,69.8
11223027,R1026,Mohit,Satish,2001,OBC,F,A,Karnal,8th,30,65,27,35,79,236,47.2
11223028,R1027,Ravi,Mukesh,2000,OBC,F,B,Kurukshetra,6th,28,3,59,49,56,195,39
11223029,R1028,Deepak,Lokesh,2007,GNRL,M,A,Hisar,8th,56,55,41,90,74,316,63.2
11223030,R1029,Mohit,Suresh,2001,SC,F,D,Kurukshetra,7th,64,51,92,,77,380,76
11223031,R1030,Ravi,Suresh,2004,BC,F,D,Kurukshetra,7th,92,46,52,90,0,280,56
11223032,R1031,Ravi,Satish,2000,OBC,F,D,Rohtak,7th,9,47,57,54,73,240,48
11223033,R1032,Suman,Mukesh,2001,BC,M,D,Hisar,6th,53,98,27,43,18,239,47.8
11223034,R1033,Deepak,Rajesh,2007,GNRL,M,C,Jhajjar,6th,8,36,98,13,56,211,42.2
11223035,R1034,Deepak,Mahesh,2004,GNRL,M,A,Faridabad,8th,76,36,22,27,59,220,44
